Song_Id,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2725,57.0,84.0,94.0,11.0,0.0,37.0,9.0
2728,75.0,19.0,46.0,21.0,4.0,34.0,8.0
2733,68.0,51.0,60.0,3.0,0.0,19.0,10.0
2734,54.0,54.0,55.0,67.0,0.0,42.0,11.0
2737,75.0,85.0,84.0,10.0,0.0,31.0,19.0
2738,69.0,94.0,64.24366041896361,79.0,0.0,7.0,8.0
2743,85.0,64.0,81.0,2.0,5.0,7.0,9.0
2746,56.0,58.0,55.0,35.0,0.0,23.0,11.0
2747,91.0,23.0,55.0,1.0,0.0,7.0,32.0
2749,59.0,51.0,52.0,9.0,0.0,15.0,7.0
2750,59.0,68.0,67.5,23.5,0.0,18.5,7.5
2755,65.0,46.0,53.0,16.0,0.0,9.0,5.0
2759,85.0,72.0,58.0,26.994487320837926,0.0,49.0,12.0
2762,50.0,20.0,64.0,1.0,0.0,12.0,3.0
2765,62.0,55.0,80.0,26.994487320837926,0.0,37.0,7.0
2766,59.0,56.0,63.0,12.0,0.0,6.0,36.0
2767,80.0,62.0,51.0,2.0,0.0,9.0,8.0
2769,55.0,50.0,78.0,19.0,0.0,11.0,35.0
2776,44.0,22.0,60.0,26.994487320837926,0.0,42.0,9.0
2780,59.0,23.0,46.0,66.0,0.0,15.0,6.0
2782,63.0,29.0,62.0,4.0,0.0,18.0,4.0
2785,80.5,76.0,54.0,30.0,0.0,8.5,32.0
2790,71.0,39.0,86.0,2.0,0.0,51.0,25.0
2796,80.0,62.0,69.0,28.0,0.0,13.0,7.0
2799,54.0,75.0,60.0,30.0,0.0,7.0,5.0
2801,86.0,31.0,53.0,43.0,0.0,11.0,6.0
2803,70.0,70.0,79.0,7.0,0.0,18.0,10.0
2806,62.0,59.0,43.0,84.0,3.0,11.0,5.0
2809,84.0,65.0,50.0,26.994487320837926,0.0,13.0,6.0
2813,82.0,70.0,72.6218302094818,10.5,12.0,21.5,6.0
2816,81.0,48.0,70.0,13.0,0.0,15.0,7.0
2821,74.0,37.0,53.0,7.0,0.0,21.0,10.0
2826,78.0,75.0,46.0,62.0,0.0,12.0,35.0
2831,69.0,48.5,70.6218302094818,2.5,0.0,7.5,17.5
2833,61.0,76.0,51.0,30.0,0.0,18.118101545253865,15.0
2835,56.0,61.0,76.0,10.0,0.0,14.0,11.0
2838,55.0,86.0,44.0,40.0,0.0,7.0,4.0
2839,76.47350993377484,51.5,45.0,48.0,0.0,17.0,9.0
2844,88.0,67.5,50.0,38.99724366041896,0.0,22.0,13.5
2848,76.0,80.0,81.0,19.0,0.0,6.0,9.0
2852,59.0,71.0,42.0,55.0,0.0,10.0,7.0
2866,80.0,33.0,60.0,0.0,0.0,32.0,14.0
2872,66.94701986754967,91.0,63.0,11.0,0.0,9.0,31.0
2873,72.0,90.0,48.0,32.0,0.0,18.0,10.101545253863135
2876,56.0,57.0,87.0,0.0,1.0,10.0,4.0
2877,71.0,43.0,65.0,23.0,0.0,9.0,5.0
2879,71.0,90.0,73.0,30.0,0.0,11.0,5.0
2881,80.0,16.0,28.0,17.0,0.0,12.0,39.0
2891,66.94701986754967,15.0,56.0,1.0,0.0,8.0,6.0
2892,57.0,71.0,82.0,19.0,0.0,15.0,29.0
2893,44.0,74.0,42.0,88.0,0.0,9.0,9.0
2895,65.0,88.0,72.0,36.0,14.0,20.0,3.0
2900,88.0,51.439293598233995,64.24366041896361,7.0,0.0,14.0,5.0
2912,71.0,14.0,61.0,1.0,0.0,23.0,10.101545253863135
2917,91.0,49.0,61.0,3.0,0.0,17.0,22.0
2921,83.0,93.0,65.0,58.0,0.0,9.0,8.0
2923,68.0,60.5,82.5,3.0,0.0,36.0,16.0
2932,64.0,30.0,77.0,46.0,0.0,38.0,6.0
2939,77.0,53.0,78.0,19.0,0.0,29.0,4.0
2941,66.94701986754967,63.0,77.0,12.0,1.0,10.0,5.0
2942,56.0,46.0,59.666666666666664,49.333333333333336,0.0,11.333333333333334,4.666666666666667
2950,56.0,53.0,64.0,11.0,0.0,45.0,6.0
2954,42.0,51.439293598233995,26.0,92.0,0.0,13.0,3.0
2955,82.0,35.0,63.0,7.0,0.0,36.5,7.5
2964,77.5,45.219646799117,47.5,15.5,0.5,12.0,12.5
2976,73.0,74.5,84.5,23.5,0.0,17.0,10.0
2982,70.0,6.0,64.24366041896361,1.0,0.0,36.0,26.0
2984,72.0,79.0,78.0,55.0,0.0,18.118101545253865,30.0
2987,70.0,40.0,51.0,35.0,0.0,10.0,4.0
2997,34.0,39.0,16.0,97.0,0.0,12.0,5.0
2999,86.0,74.0,80.0,33.0,0.0,8.0,6.0
3000,61.0,47.0,68.0,0.0,1.6225165562913908,13.0,3.0
3002,58.0,17.0,62.0,18.0,0.0,20.0,8.0
3009,74.0,36.0,63.0,26.0,0.0,27.0,5.0
3019,81.0,39.0,60.0,31.0,0.0,7.0,3.0
3022,65.0,52.0,80.0,5.0,0.0,6.0,25.0
3026,71.33333333333333,57.666666666666664,64.33333333333333,17.33149577361264,0.0,12.706033848417954,20.033848417954378
3027,69.5,85.5,75.0,6.0,0.0,27.0,9.5
3028,85.5,63.0,85.0,14.997243660418963,0.8112582781456954,19.0,7.0
3034,63.0,88.0,93.0,3.0,0.0,10.0,8.0
3044,39.0,36.0,45.0,81.0,0.0,8.0,13.0
3048,60.0,17.0,45.0,16.0,0.0,11.0,2.0
3049,58.0,83.0,45.0,36.0,0.0,18.118101545253865,8.0
3053,70.0,61.0,44.0,40.0,0.0,37.0,4.0
3055,55.0,30.0,78.0,24.0,0.0,12.0,8.0
3071,66.0,55.5,59.62183020948181,56.0,0.0,13.5,5.5
3072,45.0,25.0,64.24366041896361,21.0,0.0,18.118101545253865,6.0
3078,64.0,43.0,73.0,26.994487320837926,17.0,16.0,10.101545253863135
3081,71.0,67.0,60.0,19.0,0.0,12.0,3.0
3085,86.0,59.0,96.0,50.0,1.6225165562913908,9.0,5.0
3086,78.0,70.0,81.0,57.0,0.0,10.0,5.0
3089,63.0,39.0,82.33333333333333,22.0,1.3333333333333333,17.333333333333332,8.0
3090,66.94701986754967,69.0,72.0,17.0,0.0,19.0,3.0
3091,61.0,45.0,69.0,2.0,0.0,9.0,3.0
3092,68.0,72.0,78.0,4.0,0.0,7.0,5.0
3093,91.0,43.0,64.24366041896361,9.0,1.6225165562913908,9.0,8.0
3094,48.0,15.0,31.0,80.0,22.0,12.0,4.0
3097,58.0,46.0,67.0,65.0,1.6225165562913908,13.0,4.0
3098,58.0,4.0,60.0,7.0,41.0,8.0,3.0
3099,71.0,82.0,81.0,11.0,0.0,6.0,5.0
3103,66.94701986754967,66.0,65.0,5.0,0.0,25.0,14.0
3108,81.0,72.0,65.0,26.994487320837926,0.0,14.0,4.0
3111,63.0,49.0,64.24366041896361,5.0,0.0,9.0,3.0
3114,29.0,12.0,33.0,68.0,1.6225165562913908,12.0,5.0
3117,79.0,87.0,81.0,4.0,0.0,10.0,4.0
3121,73.0,62.0,75.0,0.0,0.0,34.0,8.0
3122,86.0,67.0,66.0,14.0,0.0,12.0,10.101545253863135
3123,65.0,51.439293598233995,47.0,31.0,0.0,12.0,10.0
3124,61.0,47.0,65.0,3.0,0.0,17.0,4.0
3125,82.0,65.0,68.5,25.0,3.3112582781456954,9.0,6.0
3130,51.0,62.0,79.0,22.0,13.0,14.0,3.0
3132,53.0,84.0,77.0,40.0,0.0,32.0,3.0
3135,55.0,42.0,53.0,17.0,0.0,22.0,3.0
3138,65.0,24.0,53.0,6.0,0.0,51.0,4.0
3139,65.0,51.439293598233995,60.0,11.0,0.0,10.0,40.0
3143,80.0,36.0,64.24366041896361,4.0,0.0,3.0,5.0
3157,69.0,40.0,39.0,41.0,0.0,13.0,6.0
3158,47.5,49.0,71.5,13.497243660418963,13.5,19.559050772626932,7.5
3159,67.0,51.439293598233995,78.0,15.0,0.0,18.118101545253865,4.0
3162,82.0,53.0,67.0,34.0,0.0,9.0,8.0
3164,51.0,21.0,63.0,5.0,0.0,41.0,3.0
3166,77.0,82.0,30.0,95.0,0.0,13.0,5.0
3172,75.0,51.439293598233995,64.24366041896361,9.0,0.0,13.0,6.0
3187,87.0,57.0,55.0,10.0,0.0,29.0,7.0
3188,82.0,76.0,70.0,16.0,0.0,8.0,5.0
3192,63.0,20.0,55.0,72.0,0.0,6.0,6.0
3201,81.5,51.5,72.5,48.5,0.0,10.0,7.550772626931567
3202,53.5,59.719646799117,74.0,14.0,0.0,8.0,10.5
3215,65.9823399558499,40.333333333333336,61.666666666666664,29.666666666666668,0.0,9.666666666666666,14.666666666666666
3220,70.0,59.0,75.0,24.0,0.0,9.0,4.0
3223,53.0,75.0,64.24366041896361,7.0,0.0,17.0,3.0
