Song_Id,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
3790,Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485.0,166,87,1056,1,0.0,124,A#,Major,65.5,53.0,72.6218302094818,3.0,1.0,22.0,3.5
2622,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093.0,94,65,164,14,176.0,128,D,Major,62.0,55.0,78.0,1.0,3.0,23.0,4.0
2545,Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789.0,233,0,4095,9,0.0,138,F,Minor,49.0,42.0,62.0,9.0,0.0,11.0,3.0
2719,Here With Me,d4vd,1,2022,7,17,3246,23,635412045.0,94,85,68,1,84.0,132,E,Major,72.64900662251655,34.333333333333336,46.08122013965453,45.333333333333336,0.0,17.0,9.333333333333334
2159,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890.0,216,108,331,26,154.0,131,D,Major,71.0,24.0,47.0,1.0,0.0,27.0,9.0
2434,Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368.0,47,74,80,14,194.0,168,F#,Minor,81.0,45.5,54.5,3.5,0.0,24.5,33.0
4139,CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627.0,12,16,18,4,93.0,98,C#,Major,68.0,40.0,79.0,33.0,0.0,30.0,6.0
4419,Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673.0,300,65,1003,1,0.0,102,C#,Major,59.0,67.0,81.5,34.99724366041896,0.0,28.0,5.0
3305,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848.0,60,96,71,0,115.0,101,A#,Major,34.0,32.0,57.0,78.0,0.0,20.0,10.101545253863135
3733,Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092.0,9,6,25,2,72.0,130,F,Major,63.0,36.0,34.0,76.0,0.0,35.0,9.0
2762,Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929.0,16,72,5,0,8.0,142,D,Major,50.0,20.0,64.0,1.0,0.0,12.0,3.0
3466,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922.0,492,99,798,31,0.0,170,C#,Major,59.0,48.0,76.0,4.0,0.0,10.0,5.0
2044,El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238.0,80,75,110,11,323.0,124,G#,Minor,66.94701986754967,70.0,68.0,3.0,1.0,11.0,4.0
2690,Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814.0,440,125,1800,0,0.0,110,C#,Major,50.0,45.0,41.0,75.0,0.0,11.0,3.0
3093,Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818.0,104,120,141,26,49.0,92,C#,Minor,91.0,43.0,64.24366041896361,9.0,1.6225165562913908,9.0,8.0
2073,Makeba,Jain,1,2015,6,22,6060,53,165484133.0,150,148,2703,22,1451.0,116,D,Major,88.5,61.5,61.5,46.5,25.5,17.5,16.0
2555,MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811.0,1,52,8,0,1170.0,129,A,Major,57.0,40.666666666666664,53.333333333333336,57.99816244027931,5.666666666666667,10.0,6.7005150846210455
3081,Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870.0,57,97,35,0,429.0,98,G#,Major,71.0,67.0,60.0,19.0,0.0,12.0,3.0
4410,What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998.0,29,76,24,0,162.0,172,C#,Minor,74.0,76.0,76.0,6.0,0.0,10.0,9.0
3951,Snooze,SZA,1,2022,12,9,2839,25,399686758.0,58,156,42,1,236.0,143,F,Major,56.0,39.0,55.0,14.0,0.0,11.0,13.0
2125,Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508.0,89,143,1632,3,200.0,112,C#,Minor,56.0,24.0,66.0,7.0,0.0,12.0,3.0
2675,Take Two,BTS,1,2023,6,9,674,47,118482347.0,20,106,25,4,78.0,93,G,Major,62.0,57.0,59.0,3.0,0.0,38.0,3.0
2557,Lover,Taylor Swift,1,2012,1,1,8448,23,882831184.0,160,110,163,0,5.0,206,G,Major,43.0,50.0,55.0,50.0,0.0,15.0,10.0
3418,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165.0,17,119,19,2,266.0,88,G,Minor,66.94701986754967,17.0,71.0,15.0,0.0,11.0,5.0
3329,Chemical,Post Malone,1,2023,4,14,2528,39,172825906.0,56,91,59,3,486.0,170,D,Major,50.0,37.0,90.0,26.994487320837926,0.0,12.0,5.0
2592,Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043.0,49,98,2394,5,204.0,84,E,Minor,62.0,24.0,67.0,21.0,0.0,13.0,28.0
4818,New Jeans,NewJeans,1,2023,7,7,77,35,29562220.0,8,166,4,4,34.0,134,E,Minor,78.0,47.219646799117,68.5,33.0,0.0,11.5,18.5
2102,Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611.0,6,40,6,6,202.0,158,A#,Major,54.0,50.0,40.0,61.0,0.0,10.0,6.0
2249,Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506.0,384,135,1034,37,312.0,116,C#,Major,80.0,92.0,64.24366041896361,4.0,0.0,10.0,3.0
3091,Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633.0,41,100,59,1,32.0,117,C#,Major,61.0,45.0,69.0,2.0,0.0,9.0,3.0
2516,Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900.0,98,108,327,17,153.0,114,F,Minor,66.5,59.0,63.5,27.5,0.0,9.5,4.5
3000,Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694.0,88,112,2163,5,519.0,108,D,Minor,61.0,47.0,68.0,0.0,1.6225165562913908,13.0,3.0
2821,Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526.0,69,113,695,0,458.0,144,E,Minor,74.0,37.0,53.0,7.0,0.0,21.0,10.0
4303,Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294.0,7,6,0,0,48.0,130,F,Major,68.5,42.5,54.5,59.0,0.8112582781456954,23.0,5.0
3708,VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2028,5,12,1094,34,90839753.0,40,58,47,8,203.0,127,B,Minor,82.0,89.0,85.0,4.0,0.0,23.0,6.0
2103,august,Taylor Swift,1,2020,7,24,7324,22,607123776.0,25,81,61,1,44.0,90,F,Major,51.0,42.0,61.0,53.0,0.0,9.0,3.0
3301,LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345.0,19,117,8,1,74.0,128,A,Minor,75.0,79.0,63.0,33.0,0.0,15.0,4.0
4945,Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784.0,161,115,246,9,638.0,143,A,Major,66.94701986754967,31.0,87.0,4.0,4.0,8.0,4.0
2351,Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938.0,69,12,38,8,64.0,139,G#,Major,74.0,68.0,68.0,3.0,0.0,26.0,4.0
3892,Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762.0,21,110,21,9,71.0,162,A#,Major,49.0,78.0,64.0,19.0,0.0,11.0,4.0
3019,Por las Noches,Peso Pluma,1,2021,6,11,457,24,330346424.0,8,116,4,3,2.0,92,Unknown,Major,81.0,39.0,60.0,31.0,0.0,7.0,3.0
3187,Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,38,601863821.0,45,69,52,4,3.0,95,F,Major,87.0,57.0,55.0,10.0,0.0,29.0,7.0
3034,Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1953533826.0,201,44,6551,2,0.0,146,D,Major,63.0,88.0,93.0,3.0,0.0,10.0,8.0
4231,Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,2322580122.0,437,115,1212,12,0.0,95,Unknown,Major,55.0,56.0,82.0,12.0,0.0,34.0,5.0
3331,lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893.0,221,96,1078,2,136.0,115,E,Minor,35.0,12.0,64.24366041896361,93.0,0.0,18.118101545253865,10.101545253863135
3718,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503.0,25,59,32,5,88.0,128,B,Major,78.0,59.0,65.0,10.0,0.0,26.0,5.0
3867,Queencard,(G)I-DLE,1,2028,5,15,451,33,96273746.0,10,126,7,0,148.0,130,E,Minor,75.0,55.0,69.0,9.5,0.0,18.5,8.5
2718,OMG,NewJeans,1,2023,1,2,1783,27,430977451.0,26,124,15,1,22.0,127,A,Minor,80.0,74.0,77.0,36.0,0.0,11.0,4.0
3089,Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874.0,24,122,282,3,368.0,150,D,Major,63.0,39.0,82.33333333333333,22.0,1.3333333333333333,17.333333333333332,8.0
3542,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598.0,119,108,254,29,22.0,122,D,Minor,72.66666666666667,37.666666666666664,64.33333333333333,13.666666666666666,0.0,24.0,12.700515084621046
4385,505,Arctic Monkeys,1,2007,4,20,13985,25,1217120710.0,30,80,588,1,1.0,140,Unknown,Major,52.0,20.0,85.0,26.994487320837926,0.0,7.0,5.0
3676,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132.0,31,37,31,0,189.0,140,Unknown,Major,63.0,51.439293598233995,54.0,26.994487320837926,0.0,12.0,8.0
2376,Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178.0,24,90,30,1,176.0,119,C#,Minor,75.0,48.0,53.0,18.0,0.0,18.0,34.0
3659,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632.0,3,88,1,0,52.0,110,G,Minor,66.53806580989225,50.794105486707615,64.1723797035161,27.10926930620295,1.74600845846174,18.149242035130666,10.027573328524905
3048,Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074.0,7,0,2094,0,0.0,95,G#,Major,60.0,17.0,45.0,16.0,0.0,11.0,2.0
3503,Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126.0,82,55,50,0,9.0,132,F#,Major,56.0,20.0,55.0,45.0,1.0,32.0,3.0
2183,Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133.0,250,121,2969,10,31.0,125,A#,Minor,77.0,74.0,78.0,4.0,0.0,23.0,11.0
2809,Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253.0,6,9,26,1,66.0,124,D#,Minor,84.0,65.0,50.0,26.994487320837926,0.0,13.0,6.0
3230,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2028,6,1,293,8,11956641.0,5,2,30,2,66.0,133,B,Minor,93.0,68.0,65.0,42.0,0.0,12.0,25.0
2280,Without Me,Eminem,1,2002,1,1,21081,43,1687664027.0,98,76,3889,5,0.0,112,G,Major,65.9823399558499,53.666666666666664,62.0,42.32965821389195,0.5408388520971302,19.333333333333332,11.0
4581,QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2024,7,13,437,31,11599388.0,17,29,26,3,208.0,97,Unknown,Major,64.5,71.719646799117,76.6218302094818,37.0,0.0,9.0,5.5
4491,Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552.0,13,8,5,0,1.0,90,F,Minor,66.94701986754967,52.0,48.0,38.0,5.0,10.0,11.0
4290,Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,38,1133865788.0,71,113,99,13,28.0,80,D#,Minor,65.0,27.0,69.0,26.994487320837926,0.0,53.0,4.0
2269,Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494.0,107,69,5239,0,558.0,172,A,Major,45.0,33.0,59.0,26.994487320837926,0.0,8.0,3.0
2540,Those Eyes,New West,1,2019,5,10,1507,14,411747614.0,24,71,44,1,195.0,120,E,Major,65.0,47.5,46.5,48.5,0.0,24.559050772626932,8.0
3320,El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395.0,7,71,4,2,13.0,140,G,Minor,79.0,51.439293598233995,46.0,5.0,0.0,11.0,7.0
3557,Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544.0,7,76,3,1,93.0,128,A,Minor,81.0,90.0,77.0,1.0,0.0,9.0,5.0
3086,Bye,Peso Pluma,1,2023,5,26,324,14,95053634.0,13,110,8,2,60.0,122,Unknown,Major,78.0,70.0,81.0,57.0,0.0,10.0,5.0
3597,Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1,17138,37,1279434863.0,119,81,974,1,503.0,130,Unknown,Major,47.0,86.0,92.0,8.0,0.0,5.0,24.0
2066,Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632.0,14,88,66,3,72.0,160,A,Major,69.0,61.0,71.0,33.0,0.0,31.0,20.0
